time,rpm,temperature,vibration,load,pressure
0,1514.9,90.32,4.451,82.7,3.38
1,1499.9,91.56,4.93,90.7,3.75
2,1527.4,82.37,4.406,64.5,3.22
3,1557.7,86.17,4.443,80.3,4.24
4,1509.0,85.28,4.244,70.8,4.79
5,1512.9,85.17,4.371,72.3,5.07
6,1571.3,86.85,4.82,71.6,4.32
7,1550.9,85.43,4.667,69.7,4.19
8,1517.8,88.0,4.773,77.1,3.16
9,1552.1,83.29,4.525,70.3,3.69
10,1525.8,89.29,4.518,79.2,3.72
11,1529.7,86.39,4.375,76.8,3.76
12,1554.8,90.11,4.484,75.5,3.98
13,1494.0,82.11,4.362,70.3,3.66
14,1503.5,87.94,4.266,73.1,2.98
15,1542.2,88.69,4.498,83.9,4.59
16,1532.5,86.28,4.658,82.0,3.64
17,1576.1,83.76,4.754,70.3,4.1
18,1543.2,86.21,6.298,79.0,5.16
19,1531.8,89.13,5.219,84.4,3.76
20,1621.9,84.91,4.703,65.1,2.66
21,1574.8,87.35,4.643,82.9,4.09
22,1587.2,85.78,4.712,73.4,4.61
23,1546.0,92.49,4.888,83.4,5.19
24,1576.0,88.94,4.418,72.8,3.42
25,1599.2,84.23,4.502,64.6,4.14
26,1564.8,83.37,4.84,66.1,3.65
27,1614.1,88.32,4.669,79.6,4.15
28,1588.2,89.46,4.744,81.3,5.54
29,1600.9,83.6,4.689,72.1,3.29
30,1594.9,88.77,4.596,84.5,4.41
31,1671.8,81.6,4.641,66.2,4.23
32,1619.0,88.79,4.651,79.0,4.74
33,1590.9,86.14,4.389,69.9,4.04
34,1650.4,86.13,4.553,74.5,4.29
35,1592.2,91.07,5.02,80.1,4.0
36,1638.1,83.99,4.601,72.9,4.23
37,1576.1,83.74,4.639,76.7,3.94
38,1597.9,90.79,4.681,87.9,4.67
39,1646.6,89.38,5.393,75.3,3.97
40,1665.6,94.34,4.787,86.6,4.59
41,1651.4,85.13,4.68,70.9,4.05
42,1645.5,92.1,5.251,84.2,4.89
43,1642.5,92.02,5.254,91.5,4.45
44,1609.8,81.87,4.384,60.2,2.93
45,1635.1,88.38,4.993,73.6,4.74
46,1645.3,91.37,4.821,84.6,3.88
47,1693.2,85.76,4.868,78.4,3.93
48,1674.1,92.95,4.721,83.0,4.04
49,1613.2,89.5,4.503,75.1,4.8
50,1678.0,88.11,5.053,80.6,3.22
51,1658.9,89.28,4.81,78.7,5.8
52,1652.2,92.55,4.869,89.2,4.97
53,1692.8,90.49,5.097,81.9,4.44
54,1707.3,89.27,5.175,82.5,4.33
55,1706.2,87.2,4.729,76.5,4.38
56,1654.8,87.53,4.851,75.8,4.43
57,1672.5,90.3,4.651,76.2,4.52
58,1693.3,91.33,5.132,82.8,4.63
59,1714.2,87.84,5.012,76.2,4.28
60,1672.0,91.18,5.604,81.8,4.21
61,1682.3,88.04,4.836,95.0,4.51
62,1656.0,93.04,4.693,86.3,4.29
63,1654.5,84.35,4.675,76.7,4.76
64,1716.0,91.66,4.911,88.8,4.79
65,1733.4,86.52,4.811,75.9,2.78
66,1691.6,81.6,5.221,62.7,4.27
67,1724.8,89.46,4.744,70.9,4.24
68,1706.4,83.82,4.647,63.9,3.97
69,1677.0,88.62,5.041,75.9,4.0
70,1707.9,89.16,4.883,78.8,4.85
71,1743.9,94.69,5.357,91.9,5.06
72,1697.2,89.91,4.725,81.0,3.93
73,1745.7,86.57,4.957,76.5,4.48
74,1620.6,91.73,4.599,84.8,3.83
75,1724.2,82.97,4.571,60.3,3.24
76,1702.4,86.35,5.413,79.8,3.98
77,1690.9,89.68,4.766,83.9,4.8
78,1702.7,88.27,4.791,65.8,4.49
79,1640.4,92.28,4.805,86.6,4.63
80,1693.3,88.7,4.815,80.0,4.66
81,1710.5,87.1,5.349,73.8,4.44
82,1743.9,90.12,4.815,82.0,4.06
83,1683.7,97.9,5.144,95.0,4.8
84,1674.6,89.3,5.622,78.1,4.64
85,1683.3,89.64,4.897,78.4,4.63
86,1725.2,89.72,5.505,72.6,4.77
87,1707.0,86.87,4.623,69.3,4.45
88,1680.5,89.45,4.849,82.5,4.51
89,1711.0,85.93,4.701,68.9,4.62
90,1697.7,88.15,5.05,76.1,4.21
91,1722.9,87.22,5.854,71.5,3.71
92,1671.7,90.21,4.722,78.9,4.17
93,1681.9,88.6,4.958,77.6,3.86
94,1678.8,91.54,4.754,83.0,4.0
95,1645.4,85.64,4.745,70.4,3.98
96,1696.8,87.24,4.802,72.1,3.74
97,1694.4,81.28,5.623,66.2,3.86
98,1685.2,88.19,4.854,70.3,3.14
99,1676.4,88.82,4.748,76.6,4.31
100,1639.4,90.41,4.609,79.4,4.23
101,1667.5,78.94,4.542,65.7,3.57
102,1668.1,93.14,4.711,79.8,4.59
103,1652.5,89.55,4.726,83.5,4.79
104,1669.8,89.97,5.167,75.7,3.38
105,1684.8,89.33,4.988,87.1,4.05
106,1727.2,86.84,4.833,65.7,3.66
107,1673.7,81.49,4.5,61.6,3.44
108,1674.0,81.0,5.009,57.1,4.23
109,1661.8,93.67,5.039,83.0,4.23
110,1604.1,86.49,4.49,76.0,3.99
111,1658.5,86.34,4.887,70.1,3.06
112,1658.7,88.37,4.778,72.5,4.43
113,1728.2,85.21,4.592,61.0,3.33
114,1646.0,91.77,4.869,89.3,4.46
115,1658.2,86.74,4.72,70.5,4.21
116,1645.4,90.49,4.545,70.0,4.73
117,1608.6,86.41,5.338,74.6,3.45
118,1675.2,87.25,5.143,72.4,2.61
119,1660.6,88.02,4.853,70.0,4.15
120,1658.8,85.58,4.62,61.6,4.79
121,1604.8,87.87,4.583,71.4,4.65
122,1671.2,91.07,4.982,82.4,4.42
123,1584.0,84.81,4.682,77.8,3.89
124,1640.5,91.72,4.595,79.5,4.63
125,1685.4,81.69,4.71,62.3,3.45
126,1586.8,81.86,4.748,58.2,3.99
127,1596.2,81.87,4.525,64.8,4.14
128,1612.9,83.84,4.401,65.9,4.46
129,1591.4,86.7,4.885,73.9,5.45
130,1556.6,79.37,4.193,51.3,3.78
131,1601.7,87.89,4.56,76.7,3.88
132,1564.3,85.56,4.312,62.9,3.81
133,1606.8,83.13,4.438,60.4,2.93
134,1561.5,79.55,4.601,55.4,3.32
135,1632.0,81.38,4.483,49.9,3.43
136,1558.3,86.58,4.38,69.4,3.68
137,1568.5,79.99,4.898,63.1,3.91
138,1598.9,80.72,4.851,51.8,3.22
139,1533.8,79.84,4.695,51.4,4.12
140,1573.8,80.64,4.317,58.8,3.75
141,1602.4,89.12,4.629,74.5,4.09
142,1511.2,79.97,5.369,58.7,3.52
143,1561.1,78.18,4.55,48.4,3.61
144,1559.5,80.47,4.208,58.1,4.13
145,1571.3,80.85,4.238,57.5,3.29
146,1506.8,71.74,4.078,37.8,2.93
147,1500.4,77.19,4.806,58.5,3.52
148,1551.8,83.5,4.403,56.8,3.01
149,1541.1,80.57,4.427,63.8,3.41
150,1535.7,107.86,5.832,72.7,3.75
151,1534.7,103.68,6.056,66.6,4.3
152,1499.9,102.73,6.068,55.0,3.73
153,1523.3,99.59,5.67,48.0,3.58
154,1521.1,114.21,6.261,77.0,4.49
155,1486.9,106.29,6.541,56.6,3.55
156,1560.3,103.78,5.747,55.8,3.87
157,1514.5,108.77,5.803,55.2,3.57
158,1460.6,105.84,5.588,56.6,3.72
159,1512.0,103.07,6.031,53.4,3.29
160,1459.1,96.78,5.673,49.6,2.23
161,1507.9,107.05,5.813,49.5,3.43
162,1515.1,100.92,6.042,53.2,4.29
163,1451.8,98.12,5.542,48.8,3.89
164,1501.3,103.68,6.213,47.0,3.92
165,1480.8,108.06,5.722,53.2,4.16
166,1489.2,105.09,5.529,50.0,3.53
167,1517.5,107.99,6.029,63.7,3.89
168,1449.3,96.94,5.672,30.0,2.74
169,1430.2,106.04,5.571,59.6,3.46
170,1422.2,105.99,6.033,60.5,3.94
171,1420.6,71.93,4.386,33.5,3.69
172,1438.9,75.89,3.945,47.0,3.31
173,1447.6,75.51,5.091,46.4,3.15
174,1441.9,71.44,3.807,37.7,3.2
175,1454.7,73.98,3.901,42.4,3.6
176,1426.5,69.82,3.808,39.4,2.49
177,1466.0,80.36,4.724,61.9,2.56
178,1410.8,75.68,4.19,55.0,3.24
179,1496.7,77.43,4.116,57.3,3.03
180,1430.3,77.57,4.06,52.5,3.23
181,1382.2,74.72,3.925,37.3,3.06
182,1372.3,74.96,3.689,41.8,2.98
183,1415.4,72.96,4.468,49.6,4.13
184,1390.7,69.53,4.125,35.5,3.26
185,1415.5,78.29,4.048,50.6,3.58
186,1404.9,71.89,4.76,42.6,3.57
187,1385.1,72.68,3.844,41.2,2.64
188,1358.6,76.32,4.955,49.5,3.87
189,1335.4,72.19,3.971,47.0,3.24
190,1364.2,72.73,3.932,40.2,3.5
191,1400.2,73.93,3.875,52.0,2.9
192,1377.8,69.57,4.233,33.7,2.27
193,1331.0,74.67,3.798,46.9,3.68
194,1370.6,71.28,3.758,46.4,3.49
195,1374.0,73.12,3.64,38.8,2.7
196,1333.1,73.01,3.847,43.5,2.77
197,1361.4,70.68,3.753,30.5,3.53
198,1355.7,75.06,4.068,47.6,2.71
199,1317.0,73.99,4.18,38.3,3.91
200,1359.4,71.23,3.597,35.3,2.61
201,1362.9,73.84,4.095,47.5,3.63
202,1376.0,70.83,3.646,33.1,2.87
203,1372.7,69.83,4.103,27.2,3.22
204,1297.3,67.25,3.864,25.6,2.54
205,1308.2,72.48,3.776,42.6,3.08
206,1349.5,66.99,3.842,27.2,2.91
207,1347.3,74.21,3.819,51.1,2.87
208,1345.2,63.39,3.582,20.1,3.12
209,1443.3,80.14,4.403,50.0,3.19
210,1342.8,68.98,3.748,37.7,2.98
211,1357.8,69.47,3.698,35.0,2.56
212,1350.5,68.13,3.716,31.0,1.69
213,1339.7,73.36,4.09,38.3,3.01
214,1308.9,69.38,3.585,34.4,4.2
215,1339.5,75.56,3.669,43.3,3.6
216,1292.0,68.54,3.808,35.0,2.98
217,1306.6,70.65,3.988,35.0,2.87
218,1297.7,66.96,3.433,30.6,2.92
219,1313.4,73.8,3.536,32.7,3.24
220,1379.1,68.91,3.657,35.3,2.5
221,1252.5,65.41,3.333,20.0,3.21
222,1328.0,67.62,3.55,21.5,3.11
223,1258.0,71.06,3.809,37.9,3.37
224,1291.2,68.9,3.728,33.0,3.17
225,1337.2,68.76,3.764,29.9,2.94
226,1305.6,69.03,3.554,31.2,3.27
227,1270.6,68.83,3.929,33.5,3.24
228,1280.9,68.99,3.515,26.2,2.63
229,1322.1,71.44,4.544,24.0,2.51
230,1279.4,67.52,3.675,31.5,2.96
231,1307.3,63.41,3.373,21.8,3.52
232,1301.9,69.14,3.768,32.6,2.33
233,1280.7,70.37,3.379,20.0,1.95
234,1364.4,69.98,3.947,37.1,3.19
235,1319.0,72.77,3.483,32.3,2.99
236,1239.3,71.05,3.34,30.4,2.93
237,1305.7,69.25,4.051,35.9,3.15
238,1280.4,72.68,3.549,41.1,2.99
239,1326.0,73.84,4.053,35.7,3.78
240,1277.0,64.4,3.352,20.0,1.88
241,1297.7,65.06,3.604,20.0,2.28
242,1316.8,65.13,3.707,21.8,2.7
243,1328.1,65.93,3.64,26.8,2.04
244,1266.8,66.85,3.448,30.5,2.79
245,1293.5,63.05,3.362,20.3,3.53
246,1290.0,67.63,3.364,27.4,2.85
247,1285.6,63.74,3.38,20.0,2.8
248,1359.1,67.02,3.741,20.6,2.14
249,1319.3,62.68,4.174,20.0,2.41
250,1270.4,65.72,3.856,20.0,2.48
251,1336.9,67.72,3.81,20.0,2.58
252,1374.3,62.63,3.915,20.0,3.42
253,1342.9,70.75,3.842,32.9,3.28
254,1267.8,67.47,3.326,20.0,2.11
255,1300.3,70.61,4.265,45.1,3.33
256,1354.4,72.0,3.82,27.8,3.16
257,1296.8,67.83,3.592,25.1,3.37
258,1333.0,64.59,3.401,20.0,3.52
259,1344.7,68.74,3.656,28.9,2.42
260,1295.5,66.55,3.476,20.0,2.29
261,1323.4,67.19,3.986,24.0,2.17
262,1230.0,72.52,3.63,43.3,2.98
263,1298.5,64.21,3.46,21.9,2.97
264,1323.8,69.71,4.594,31.7,3.45
265,1296.1,62.61,3.327,20.0,2.66
266,1384.8,67.13,3.654,21.9,2.66
267,1295.2,68.5,3.466,36.2,3.1
268,1327.3,64.44,3.759,20.0,2.31
269,1346.9,73.57,4.307,36.3,4.12
270,1388.7,71.22,3.649,27.4,2.13
271,1304.9,66.79,3.896,20.0,2.8
272,1385.5,66.55,3.64,26.5,3.93
273,1353.6,68.41,4.223,29.1,2.94
274,1326.6,70.19,3.836,26.2,2.76
275,1372.8,66.87,3.936,20.0,2.59
276,1367.7,71.15,3.441,20.0,2.68
277,1346.7,66.99,4.381,20.0,3.43
278,1369.7,67.0,3.831,20.2,1.67
279,1359.1,67.48,3.584,25.7,3.64
280,1377.2,67.55,4.006,22.1,2.11
281,1396.7,66.65,3.593,20.0,2.66
282,1427.6,69.9,4.209,23.6,2.68
283,1346.1,69.71,3.482,25.3,3.15
284,1450.5,67.65,4.015,24.9,2.15
285,1331.3,66.0,3.686,29.0,3.14
286,1388.7,65.24,3.577,27.0,3.94
287,1414.3,69.4,3.651,23.9,2.21
288,1408.5,64.92,3.521,20.0,2.9
289,1384.9,62.47,3.66,20.0,2.45
290,1400.8,68.86,3.645,23.6,3.08
291,1395.8,72.45,3.783,21.7,2.84
292,1396.6,67.61,3.621,22.2,2.52
293,1443.4,69.33,3.694,20.0,3.09
294,1432.2,67.65,3.972,20.0,3.73
295,1404.4,69.4,3.608,28.4,2.88
296,1455.9,69.68,4.311,20.0,3.22
297,1441.9,68.68,4.212,25.5,2.3
298,1460.9,68.52,3.955,20.2,2.39
299,1459.2,68.61,3.891,20.2,3.1
300,1419.2,68.21,4.282,27.5,3.71
301,1431.2,69.45,3.624,20.0,3.01
302,1474.3,68.01,3.681,20.8,2.73
303,1474.0,66.6,3.73,20.0,2.87
304,1459.0,68.96,4.093,20.0,2.23
305,1467.1,66.21,3.645,20.0,3.17
306,1505.8,69.23,3.994,22.0,3.39
307,1453.7,67.79,5.224,20.0,2.63
308,1491.8,73.65,4.368,30.3,2.86
309,1473.3,69.05,3.868,20.0,3.01
310,1476.9,68.1,3.673,20.0,2.66
311,1520.3,70.44,4.275,20.0,2.89
312,1516.1,75.15,4.127,32.1,4.21
313,1519.8,70.56,3.798,22.2,2.84
314,1538.5,71.78,3.896,28.9,2.94
315,1504.0,65.94,4.429,20.0,2.58
316,1527.8,67.68,4.117,23.0,3.36
317,1502.0,70.34,4.315,28.1,2.97
318,1525.1,68.16,4.401,21.7,2.63
319,1515.4,71.25,4.082,29.7,3.77
320,1526.2,79.01,6.971,20.0,3.64
321,1545.1,84.02,7.085,32.6,2.9
322,1506.7,84.41,7.026,39.8,2.37
323,1598.0,80.94,7.067,20.0,3.5
324,1508.9,78.76,7.164,20.0,2.57
325,1506.6,78.68,7.124,33.4,3.57
326,1581.7,82.22,7.678,34.6,2.29
327,1574.6,79.33,7.025,20.0,3.42
328,1573.4,77.18,7.127,20.0,2.37
329,1577.3,80.89,7.155,20.1,3.35
330,1561.9,82.49,7.093,20.0,2.97
331,1539.2,81.53,7.142,20.0,2.46
332,1572.1,79.16,6.926,20.0,2.77
333,1553.3,82.28,7.022,20.0,3.3
334,1606.6,81.26,6.975,22.9,3.12
335,1576.6,80.53,7.051,25.2,3.37
336,1559.8,82.94,7.179,35.9,4.27
337,1578.6,79.07,7.174,20.0,2.2
338,1604.2,82.81,7.928,31.7,4.05
339,1578.4,80.72,7.156,22.3,3.08
340,1574.2,81.08,7.295,23.8,2.6
341,1609.6,73.1,4.229,29.8,2.54
342,1613.0,71.07,4.228,20.0,2.92
343,1593.9,74.65,3.989,27.9,3.61
344,1598.3,73.78,4.048,26.4,3.06
345,1622.6,70.12,4.172,29.2,3.96
346,1575.5,66.86,4.121,27.8,2.41
347,1579.9,79.16,4.127,45.3,3.48
348,1603.7,67.56,3.961,20.8,2.39
349,1622.0,70.44,4.06,21.9,3.24
350,1640.7,68.68,5.063,21.4,3.51
351,1678.6,68.22,4.199,22.1,2.91
352,1663.1,72.54,4.241,21.7,1.8
353,1635.4,77.02,4.202,36.6,3.47
354,1642.5,75.08,4.455,38.7,3.63
355,1615.7,65.95,4.06,23.0,3.28
356,1647.9,69.97,4.077,21.1,3.69
357,1642.5,74.97,4.321,31.8,2.74
358,1663.4,69.16,4.067,23.9,3.48
359,1631.5,74.93,4.102,33.6,3.9
360,1674.3,74.22,4.227,30.5,2.39
361,1707.1,72.77,4.125,20.0,3.27
362,1660.2,77.67,4.272,41.8,3.24
363,1677.8,76.42,4.42,44.0,3.52
364,1688.7,75.23,4.614,25.0,3.36
365,1658.1,72.68,4.342,27.1,2.96
366,1678.9,74.96,4.401,32.8,3.0
367,1674.5,73.29,4.288,33.4,3.36
368,1679.0,75.2,5.027,36.3,2.86
369,1654.8,77.28,4.436,47.4,3.06
370,1680.5,73.93,4.191,30.2,3.62
371,1696.4,76.54,4.436,25.6,2.63
372,1726.6,69.52,4.202,21.2,3.48
373,1713.5,70.49,4.321,26.7,3.48
374,1750.8,78.98,4.54,32.6,2.54
375,1664.6,78.81,4.926,47.5,3.28
376,1715.1,73.19,4.428,29.3,3.9
377,1695.7,78.19,4.611,35.6,2.92
378,1757.1,75.34,5.835,34.0,3.2
379,1668.3,81.86,4.318,43.9,3.78
380,1668.4,82.87,4.483,55.0,4.16
381,1676.6,73.42,4.312,30.8,3.17
382,1631.7,78.24,4.243,31.5,2.96
383,1680.5,77.22,4.461,44.1,4.27
384,1674.2,79.05,4.978,41.5,4.37
385,1702.1,81.48,4.792,51.2,4.21
386,1708.5,80.65,4.612,41.4,3.58
387,1755.0,79.71,4.463,34.2,3.03
388,1727.6,78.62,4.897,42.1,3.16
389,1682.1,77.71,5.261,46.6,3.88
390,1672.8,79.41,4.809,44.7,3.78
391,1714.6,77.11,4.355,42.5,4.27
392,1660.4,83.13,4.597,47.3,3.93
393,1754.9,81.14,4.51,48.5,2.97
394,1735.3,80.46,4.565,50.5,4.27
395,1685.7,79.16,4.34,45.0,3.09
396,1648.2,73.68,4.463,38.9,3.23
397,1739.9,76.67,4.745,41.7,3.7
398,1695.4,83.0,4.433,50.6,4.7
399,1735.5,75.14,4.464,34.7,4.98
400,1650.0,76.03,4.429,44.6,3.84
401,1679.3,77.91,4.385,38.8,3.36
402,1696.7,80.59,4.358,42.6,3.82
403,1697.2,82.77,4.587,52.9,4.2
404,1681.4,80.59,4.726,44.6,3.41
405,1712.7,77.32,4.385,43.8,4.49
406,1660.9,71.95,4.176,32.9,3.43
407,1687.6,83.36,4.508,50.1,3.94
408,1694.3,79.68,5.238,49.7,4.02
409,1704.9,83.73,4.863,62.2,4.16
410,1709.5,81.14,4.688,42.8,3.99
411,1653.0,80.13,4.415,47.4,3.29
412,1639.3,79.9,4.529,48.0,3.32
413,1722.1,87.86,4.537,59.0,3.35
414,1692.1,77.89,4.647,46.0,3.83
415,1658.0,81.54,5.043,49.4,4.03
416,1725.2,81.7,4.759,52.4,4.0
417,1680.3,80.55,4.975,49.4,4.51
418,1710.3,82.12,4.754,44.7,3.6
